216 2BIO1
181 2BIO1
208 2BIO1
254 2BIO1
173 2BIO1
9 2BIO2
273 2BIO1
28 2BIO1
141 2BIO1
277 2BIO1
210 2BIO1
154 2BIO1
64 2BIO1
286 2BIO1
278 2BIO1
255 2BIO1
175 2BIO1
287 2BIO1
23 2BIO1
147 2BIO1
51 2BIO1
167 2BIO1
25 2BIO1
247 2BIO1
222 2BIO1
282 2BIO1
253 2BIO1
172 2BIO1
189 2BIO1
229 2BIO1
188 2BIO1
164 2BIO1
220 2BIO1
221 2BIO1
168 2BIO1
46 2BIO1
39 2BIO1
85 2BIO2
57 2BIO2
133 2BIO2
163 2BIO2
234 2BIO2
264 2BIO2
191 2BIO2
24 2BIO3
228 2BIO2
1 2BIO2
142 2BIO2
60 2BIO2
16 2BIO2
58 2BIO2
153 2BIO2
102 2BIO2
89 2BIO2
8 2BIO2
62 2BIO2
169 2BIO2
120 2BIO2
202 2BIO2
126 2BIO2
263 2BIO2
22 2BIO2
52 2BIO2
123 2BIO2
129 2BIO2
183 2BIO2
148 2BIO2
106 2BIO2
67 2BIO2
117 2BIO2
0 2BIO3
104 2BIO3
13 2BIO3
178 2BIO3
38 2BIO3
108 2BIO3
20 2BIO3
240 2BIO3
59 2BIO3
157 2BIO3
43 2BIO3
146 2BIO3
192 2BIO3
75 2BIO3
100 2BIO3
110 2BIO3
217 2BIO3
97 2BIO3
72 2BIO3
207 2BIO3
215 2BIO3
131 2BIO3
26 2BIO3
266 2BIO3
198 2BIO3
128 2BIO3
134 2BIO3
259 2BIO3
275 2BIO3
36 2BIO3
71 2BIO3
42 2BIO3
65 2BIO3
45 2BIO3
49 2BIO3
239 2BIO3
90 2BIO3
262 2BIO3
137 MP*1
88 MP*1
165 MP*1
279 MP*1
112 MP*1
151 MP*1
238 MP*1
155 MP*1
171 MP*1
226 MP*1
150 MP*1
180 MP*1
37 MP*1
135 MP*1
211 MP*1
132 MP*1
283 MP*1
267 MP*1
140 MP*1
184 MP*1
250 MP*1
6 MP*1
185 MP*1
218 MP*1
53 MP*1
113 MP*1
116 MP*1
114 MP*1
109 MP*1
319 MP*2
323 MP*2
300 MP*2
298 MP*2
302 MP*2
293 MP*2
292 MP*2
313 MP*2
315 MP*2
314 MP*2
317 MP*2
305 MP*2
322 MP*2
291 MP*2
321 MP*2
326 MP*2
307 MP*2
309 MP*2
304 MP*2
311 MP*2
318 MP*2
296 MP*2
299 MP*2
301 MP*2
325 MP*2
310 MP*2
294 MP*2
316 MP*2
320 MP*2
297 MP*2
324 MP*2
295 MP*2
312 MP*2
289 MP*2
290 MP*2
308 MP*2
306 MP*2
303 MP*2
243 PSI*
269 PSI*
118 PSI*
268 PSI*
284 PSI*
34 PSI*
156 PSI*
265 PSI*
91 PSI*
203 PSI*
145 PSI*
271 PSI*
149 PSI*
95 PSI*
214 PSI*
160 PSI*
176 PSI*
124 PSI*
205 PSI*
236 PSI*
245 PSI*
206 PSI*
280 PSI*
86 PSI*
17 PSI*
10 PSI*
152 PSI*
2 PSI*
281 PSI*
47 PSI*
246 PSI*
270 PSI*
96 PSI*
122 PSI*
138 PC
261 PC
119 PC
32 PC
3 PC
230 PC
29 PC
78 PC
18 PC
143 PC
244 PC
177 PC
199 PC
170 PC
87 PC
115 PC
227 PC
50 PC
5 PC
7 PC
35 PC
27 PC
166 PC
15 PC
288 PC
232 PC
73 PC
174 PC
248 PC
92 PC
98 PC
44 PC
61 PC
158 PC
121 PC
161 PC
179 PC
79 PC
30 PC
252 PC
33 PC
159 PC
237 PC
70 PC
48 PC*
40 PC*
200 PC*
81 PC*
4 PC*
99 PC*
251 PC*
257 PC*
80 PC*
190 PC*
272 PC*
127 PC*
130 PC*
69 PC*
235 PC*
276 PC*
204 PC*
139 PC*
136 PC*
241 PC*
111 PC*
103 PC*
68 PC*
193 PC*
84 PC*
63 PC*
125 PC*
31 PC*
66 PC*
107 PC*
41 PC*
249 PC*
242 PC*
101 PC*
105 PC*
274 PC*
231 PC*
56 MP
197 MP
233 MP
194 MP
219 MP
162 MP
196 MP
225 MP
212 MP
54 MP
258 MP
201 MP
182 MP
12 MP
19 MP
260 MP
256 MP
224 MP
83 MP
74 MP
223 MP
82 MP
55 MP
195 MP
209 MP
213 MP
94 MP
187 MP
11 MP
14 MP
93 MP
144 MP
21 PC*
77 PC*
285 2BIO2
76 2BIO3
186 MP
